#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
Int. J. E Health Medical Commun.,Aura Ganz(5),Suresh Sankaranarayanan(4),Weider D. Yu(4),Sandip Bisui(4),Tati L. R. Mengko(4),Norbert Noury(4),Lamia Chaari(4),Malay Kishore Dutta(4),Lotfi Kamoun(4),Anthony Fleury(4)
Int. J. Electron. Heal.,Nilmini Wickramasinghe(13),Alan D. Smith(10),Rajeev K. Bali(7),Daniel P. Lorence(6),Raouf N. Gorgui-Naguib(5),Upkar Varshney(5),Kai S. Koong(4),Gayle Prybutok(4),Lai C. Liu(4),Binshan Lin(4)
Int. J. Embed. Syst.,Xiaoling Tao(7),Kuan-Ching Li(6),Jingzhao Li(4),Mahmut T. Kandemir(4),Dafang Zhang(4),Hai Jiang 0003(4),Xiaoye Shi(3),Yancheng Ji(3),Ittetsu Taniguchi(3),Dayu Yang(3)
Int. J. Eng. Pedagog.,Maria Teresa Restivo(16),Athanasios Drigas(13),Tiia Rüütmann(9),José Couto Marques(7),Alberto Cardoso(7),Teresa L. Larkin(6),Hants Kipper(6),Matthias Christoph Utesch(6),Gustavo Ribeiro Alves(5),Marios A. Pappas(5)
Int. J. Enterp. Inf. Syst.,Long Pham(7),Ahad Zare Ravasan(5),Nor Hidayati Zakaria(4),Kouroush Jenab(4),Eric W. T. Ngai(3),Cyrus Mohebbi(3),Babak Sohrabi(3),Shuichiro Yamamoto(3),Payam Hanafizadeh(3),Angappa Gunasekaran(3)
Int. J. Funct. Informatics Pers. Medicine,Mary Qu Yang(6),Ying Chen(4),Nazeih M. Botros(4),Jack Y. Yang(4),Walker H. Land Jr.(4),Su-Shing Chen(3),Ye Duan(3),Guo-Zheng Li 0001(3),D. Gordon Allan(2),Manish Paliwal(2)
Int. J. Fuzzy Log. Intell. Syst.,Kwee-Bo Sim(31),Kul Hur(24),Yong Chan Kim(22),Sungshin Kim(21),Won Keun Min(20),Youngchul Bae(17),Tae-Seok Jin(16),Jee-Hyong Lee(13),Sung-Ho Kim(13),Pyung-Ki Lim(13)
Int. J. Fuzzy Syst. Appl.,Madhumangal Pal(6),Rashedur M. Rahman(6),Toly Chen(5),Sampath Sundaram(5),John Robinson P.(4),Sunil Jacob John(4),Priti Gupta(3),P. Senthil Kumar(3),Palash Dutta(3),Golam Kabir(3)
Int. J. Game Based Learn.,Javier Elizondo(4),Scott N. Wilson(4),David J. Brown 0001(3),Sara de Freitas(3),Yu-Hao Lee(3),Ralf Steinmetz(3),Matthew L. Jensen(3),Dietrich Albert(3),Stefan Göbel 0001(3),Norah E. Dunbar(3)
Int. J. Gaming Comput. Mediat. Simulations,Douglas B. Clark(5),Yam San Chee(4),Brian C. Nelson(3),Constance Steinkuehler(3),Ben Medler(3),Pratim Sengupta(3),Carrie Heeter(3),Patrick M. O'Shea(3),Mario Martinez-Garza(3),Brock Dubbels(3)
Int. J. Granul. Comput. Rough Sets Intell. Syst.,William Zhu(4),Vijay V. Raghavan 0001(2),Ying Xie(2),Xibei Yang(2),A. S. Salama(2),Guilong Liu(2),Justin Zhan(2),M. M. Sufyan Beg(2),Mohamed Mohamed Ezzat Abd El-Monsef(2),Sunil Jacob John(2)
Int. J. Grid High Perform. Comput.,Emmanuel Udoh(8),Deo Prakash Vidyarthi(6),Weiwei Lin(6),Kuan-Chou Lai(4),Chao-Chin Wu(4),Yeh-Ching Chung(4),Chun-Yuan Lin(4),Hong-Yi Chang(3),G. S. Tomar(3),Sahalu B. Junaidu(3)
Int. J. Grid Util. Comput.,Hui Li 0006(8),Giovanni Morana(6),Makoto Takizawa 0001(6),Leonard Barolli(6),Tomoya Enokido(5),Edward David Moreno(5),Massimiliano Rak(5),Rao Mikkilineni(5),Umberto Villano(5),Alessandra De Benedictis(5)
Int. J. High Perform. Comput. Appl.,Jack J. Dongarra(55),William Gropp(21),Yves Robert(18),Franck Cappello(14),Henri Casanova(12),Pavan Balaji(12),Ewing L. Lusk(11),Bernard Tourancheau(11),Rajeev Thakur(11),Jesús Labarta(11)
Int. J. Hum. Cap. Inf. Technol. Prof.,Elli Georgiadou(7),Kerstin V. Siakas(5),Ricardo Colomo Palacios(5),Margaret Ross(5),Francisco J. García-Peñalvo(4),Youngkeun Choi(4),Vandana Ahuja(4),Miguel Mira da Silva(4),Vinita Sinha(4),Eleni Berki(3)
Int. J. Humanit. Arts Comput.,Ian N. Gregory(7),John Nerbonne(4),Charlotte Gooskens(4),Tien-Yu Hsu(4),Humphrey Southall(3),Yoann Goudin(3),David J. Bodenhamer(3),Simon C. Lin(3),Oliver Streiter(3),Nicholas Bauch(3)
Int. J. Humanoid Robotics,Miomir Vukobratovic(13),Branislav Borovac(11),Young-Jae Ryoo(10),Honghai Liu(10),Jun-Ho Oh(9),Xiangyang Zhu(9),Tamim Asfour(9),Rüdiger Dillmann(8),Jung-Yup Kim(8),Gordon Cheng(8)
Int. J. ICT Res. Dev. Afr.,Julius J. Okello(4),Julius Juma Okello(4),Stephen Lwasa(3),Barnabas Kiiza(3),Samson P. Katengeza(2),Blessing Mukabeta Maumbe(2),Ruth M. Okello(2),Oliver L. E. Mbatia(1),Joseph Kiwanuka(1),Ann O. Adejo(1)
Int. J. IT Bus. Alignment Gov.,Steven De Haes(17),Wim Van Grembergen(14),Lazar Rusu(9),Kim Maes(5),Tim Huygh(4),Tomi Dahlberg(4),Gideon Mekonnen Jonathan(3),Walter Brenner(3),Erik Perjons(3),Anant Joshi(3)
Int. J. IT Stand. Stand. Res.,Henk Jan de Vries(9),Tineke M. Egyedi(8),Knut Blind(4),Kai Jakobs(3),DongBack Seo(3),Ken Krechmer(3),Vladislav V. Fomin(3),Kai Reimers(2),Simon Grant(2),Xiaobai Shen(2)
Int. J. Image Graph.,David Zhang 0001(7),Hélio Pedrini(6),Zhi-Qiang Liu(5),Zhigeng Pan(5),George Baciu(5),Hanqiu Sun(5),David Dagan Feng(5),P. Arockia Jansi Rani(5),Huchuan Lu(4),Partha Bhowmick(4)
Int. J. Inf. Commun. Technol.,Srikanta Patnaik(6),Jiwei Qin(4),Kandarpa Kumar Sarma(3),Dangguo Shao(3),Liejun Wang(3),Zhengtao Yu 0001(3),Ming-Xin Jiang(3),Yaomin Hu(3),Mohamed Khalil Hani(3),Yan Xiang(3)
Int. J. Inf. Commun. Technol. Hum. Dev.,Hakikur Rahman(6),Mamta Sareen(4),Muneesh Kumar(4),Kashif Nisar(4),Isabel Ramos(4),Mahfuz Ashraf(3),Sylvain K. Cibangu(3),Camilius A. Sanga(3),Paul M. A. Baker(2),Sangeeta Sharma(2)
Int. J. Inf. Manag.,Philip Hills(60),Stuart J. Fitz-Gerald(30),Bob Wiggins(29),David Bawden(20),Mark Stansfield(18),Stuart Fitz-Gerald(18),Philip J. Hills(14),Victor Chang 0001(13),Stuart James Fitz-Gerald(12),Kevin Grant(12)
Int. J. Inf. Syst. Crisis Response Manag.,Murray E. Jennex(8),Christian Reuter 0001(6),Connie White(5),Monika Büscher(5),Andrea H. Tapia(5),Eric G. Frost(5),Julie Dugdale(4),Murray Turoff(4),Linda Plotnick(4),Dan Harnesk(3)
Int. J. Inf. Syst. Model. Des.,Terry A. Halpin(5),Henderik Alex Proper(4),John Krogstie(4),Miguel Mira da Silva(4),Camille Salinesi(3),Manfred Reichert(3),Sjaak Brinkkemper(3),Remigijus Gustas(3),Shamik Tiwari(2),Barbara Weber(2)
Int. J. Intell. Def. Support Syst.,Amit Konar(3),Lakhmi C. Jain(2),Ratko Bozic(2),Vladimir Ivancevic(2),Toyohide Watanabe(2),Eugene Aidman(2),Sung-Bae Cho(2),Stephen C. Cook(2),Raffaele Grasso(2),Satchidananda Dehuri(2)
Int. J. Intell. Mechatronics Robotics,Bijan Shirinzadeh(6),Yongmin Zhong(5),Yanling Tian(4),Dayou Li(3),Sergej Fatikow(3),Abbas Fattah(2),Yongjie Zhao(2),Renxi Qiu(2),Umesh Bhagat(2),Pushparaj Mani Pathak(2)
Int. J. Intell. Sci.,Zhongzhi Shi(2),Manja Foth(1),Steffen Landgraf(1),Zhi-long Dai(1),Ann Pannekamp(1),Jinpeng Yue(1),Xiaofeng Wang(1),Hui Wei(1),Darina Koch(1),Mohsen Jahanshahi(1)
Int. J. Intell. Syst.,Zeshui Xu(47),Ronald R. Yager(47),Francisco Herrera(28),Henri Prade(28),Vicenç Torra(25),Vladik Kreinovich(25),Witold Pedrycz(21),José M. Merigó(19),Da Ruan 0001(18),Miguel Delgado(18)
Int. J. Interact. Multim. Artif. Intell.,Rubén González Crespo(23),Juan Manuel Cueva Lovelle(16),Oscar Sanjuán Martínez(16),B. Cristina Pelayo García-Bustelo(14),Francisco Mochón(11),Carlos Enrique Montenegro Marín(10),Jordán Pascual Espada(8),Jörg Thomaschewski(8),Daniel Burgos(7),B. S. Harish(7)
Int. J. Internet Protoc. Technol.,Masayuki Murata(4),Ibrahim Kamel(4),Jung-Shyr Wu(4),Zhixiang Hou(4),Han-Chieh Chao(4),Liang Tang(3),Zhichao Wang(3),Naveen K. Chilamkurti(3),Antonio Fernandez Gómez-Skarmeta(3),Alex Galis(3)
Int. J. Interoperability Bus. Inf. Syst.,Axel Hahn(6),Sven Abels(6),Mathias Uslar(5),John Krogstie(4),Kai Mertins(3),Andreas L. Opdahl(3),Barbara Pernici(2),Kai-Uwe Kühnberger(1),Josef Wüpping(1),Renke Fahl-Spiewack(1)
Int. J. Knowl. Eng. Data Min.,Rashedur M. Rahman(3),Adnan Shaout(2),Hitesh Chhinkaniwala(2),Abdelwahed Motwakel(2),Markus Rohde(1),Cyrus Mohebbi(1),Farshid Abdi(1),Jiri Just(1),Naba Jyoti Sarmah(1),Andreas Papasalouros(1)
Int. J. Knowl. Learn.,Miltiadis D. Lytras(6),Matteo Gaeta(5),Pierluigi Ritrovato(4),Patricia Ordóñez de Pablos(3),Sharman Lichtenstein(3),Albert A. Angehrn(3),Saverio Salerno(3),Seiji Isotani(3),R. H. Goudar(3),Nick Bontis(3)
Int. J. Knowl. Syst. Sci.,Yoshiteru Nakamori(11),Michitaka Kosaka(9),Eric Tsui(6),Shouyang Wang(6),Van-Nam Huynh(6),Xijin Tang(6),Kunio Shirahada(5),Jiangning Wu(4),Yukio Ohsawa(4),Pisal Yenradee(3)
Int. J. Knowl. Web Intell.,Toyohide Watanabe(9),Tomoko Kojiri(3),Yuki Hayashi(3),Koichi Asakura(3),Mitsuru Ikeda(3),K. R. Venugopal(3),Kazuhisa Seta(3),Shigeki Matsubara(3),Naohisa Takahashi(3),Yurie Iribe(2)
Int. J. Law Inf. Technol.,Stephen Saxby(8),Robin Widdison(5),Lee A. Bygrave(5),Lilian Edwards(4),Ian Walden(4),Althaf Marsoof(4),Cheng Lim Saw(4),Jon Bing(4),Michael Aikenhead(4),Louise Longdin(4)
Int. J. Learn. Anal. Artif. Intell. Educ.,Martin Ebner(4),Dirk Ifenthaler(3),Jalal Nouri(3),Ulf Dalvad Berthelsen(2),Mohammed Saqr(2),Jane Yin-Kim Yau(2),Markus Ebner(2),Jesper Bruun(1),Miguel Á. Conde(1),Mohammad Khalil(1)
Int. J. Learn. Technol.,Adriana J. Berlanga(5),Chang Zhu(5),Ali Farhan AbuSeileek(5),Rob Koper(5),Jane E. Sinclair(5),Jeremiah Sullins(4),Jarkko Suhonen(4),Hans G. K. Hummel(3),Michael Vallance(3),Fotini Paraskeva(3)
Int. J. Mach. Learn. Cybern.,William Zhu(14),Jinhai Li(12),Zeshui Xu(11),Weihua Xu(11),Shifei Ding(11),Xibei Yang(9),Degang Chen(9),Jiye Liang(9),K. C. Santosh(9),Shitong Wang 0001(8)
Int. J. Man Mach. Stud.,Ronald R. Yager(17),Thomas R. G. Green(12),Ian H. Witten(12),Brian R. Gaines(12),M. J. Coombs(9),John H. Boose(9),Ben Shneiderman(8),Ernest A. Edmonds(8),Erik Hollnagel(8),Mildred L. G. Shaw(7)
Int. J. Manuf. Res.,Z. J. Pei(9),Steven Y. Liang(7),V. Balasubramanian(7),Timothy W. Deines(5),Lihui Wang(5),George-Christopher Vosniakos(5),Clyde Treadwell(4),W. L. Cong(4),Xianli Liu(4),Quan Liu(4)
Int. J. Manuf. Technol. Manag.,Vinod Yadava(9),Mark J. Jackson(9),Henry C. W. Lau(8),B. Bhattacharyya(7),Olli-Pekka Hilmola(6),Pradeep Kumar(6),B. Doloi(6),Yang Ping(5),Cynthia L. Tomovic(5),Abby Ghobadian(5)
Int. J. Math. Math. Sci.,Young Bae Jun(16),Maslina Darus(14),B. E. Rhoades(11),Shin Min Kang(9),Jay M. Jahangiri(9),Zeqing Liu(9),Paul Bracken(7),Poom Kumam(7),Lokenath Debnath(6),Jianming Zhan(6)
Int. J. Math. Model. Numer. Optimisation,Faouzi Trabelsi(4),Zong Woo Geem(4),Slawomir Koziel(3),Srinivasan Natesan(3),Rachid Ellaia(3),Thomas Slawig(3),Gary A. Kochenberger(3),Leifur Þ. Leifsson(3),Reza Pourgholi(2),Gustavo Mendes Platt(2)
Int. J. Math. Oper. Res.,Madhu Jain(23),S. R. Singh 0001(8),P. Vijaya Laxmi(6),R. Uthayakumar(6),Mohamed Abd Allah El-Hadidy(6),Kripasindhu Chaudhuri(5),Manoranjan Maiti(5),Dimitar P. Mishev(5),Javier Martinez Gomez(5),G. C. Sharma(5)
Int. J. Medical Eng. Informatics,Dinesh P. Mital(23),Shankar Srinivasan(20),Syed Haque(13),Amod Kumar(10),William Ebomoyi(8),Dinesh Bhatia(6),E. William Ebomoyi(6),R. B. Narayanan(6),S. M. Debbal(5),Barjinder Singh Saini(5)
Int. J. Medical Informatics,Arie Hasman(35),David W. Bates(31),Johanna I. Westbrook(28),Jan L. Talmon(26),Reinhold Haux(25),Monique W. M. Jaspers(25),Vimla L. Patel(23),Elske Ammenwerth(22),Dean F. Sittig(21),Antoine Geissbühler(20)
Int. J. Mob. Blended Learn.,Thomas Cochrane(7),Mike Sharples(6),Laurel Evelyn Dyson(5),John Traxler(5),Hardy Ernst(3),Elizabeth FitzGerald(3),Jessica Katherine Frawley(3),Theresa A. Cullen(3),Agnes Kukulska-Hulme(3),Hiroaki Ogata(3)
Int. J. Model. Identif. Control.,Quanmin Zhu(25),Sundarapandian Vaidyanathan(20),Huosheng Hu(17),Nabil Derbel(16),Ahmad Taher Azar(13),Xueli Wu(13),Mingcong Deng(9),Maarouf Saad(9),Hisham M. Soliman(9),Yongji Wang 0001(9)
Int. J. Multim. Inf. Retr.,Michael S. Lew(19),Markus Schedl(5),Tat-Seng Chua(4),Alan Hanjalic(4),Shih-Fu Chang(4),A. Ben Hamza(3),Daekeun You(3),Sameer K. Antani(3),Ralph Ewerth(3),S. S. Iyengar 0001(3)
Int. J. Multim. Intell. Secur.,Wei Fan 0004(2),Sandeep K. Sood(2),Fenlin Liu(2),D. Manjula(2),Zhenyong Chen(2),Xiangyang Luo(2),Zhang Xiong(2),Manik Lal Das(1),Hamza Al Maharmeh(1),Hideki Tode(1)
Int. J. Online Eng.,Javier García-Zubía(19),Doru Ursutiu(17),Pablo Orduña(16),Maria Teresa Restivo(16),Karsten Henke(13),Gustavo Ribeiro Alves(12),Alberto Cardoso(12),Ananda Maiti(11),Cornel Samoila(10),Ignacio Angulo(10)
Int. J. Parallel Emergent Distributed Syst.,Selim G. Akl(13),Jie Wu 0001(12),Andrew Adamatzky(8),Koji Nakano(7),Eddie Cheng 0001(5),Ulrich Rüde(5),Xiaofan Yang(5),Jeff Jones(5),Rajkumar Buyya(4),Tetsuya Asai(4)
Int. J. Parallel Program.,Jean-Luc Gaudiot(15),Eduard Ayguadé(15),Hai Jin 0001(14),Mateo Valero(11),Julius T. Tou(10),Wen-mei W. Hwu(10),Guang R. Gao(9),Marco Danelutto(8),Salvatore Cuomo(7),Arturo González-Escribano(7)
Int. J. Pattern Recognit. Artif. Intell.,Yuan Yan Tang(40),Patrick Shen-Pei Wang(32),Frank Y. Shih(25),Patrick S. P. Wang(22),Ching Y. Suen(21),Horst Bunke(21),Bin Fang 0001(19),Seong-Whan Lee(17),Ling-Hwei Chen(14),Aijia Ouyang(12)
Int. J. Rough Sets Data Anal.,Aboul Ella Hassanien(10),Ahmad Taher Azar(5),Vishal Bhatnagar(4),Nilanjan Dey(3),Rajesh Shardanand Prasad(3),H. Hannah Inbarani(3),Uday V. Kulkarni(2),Arushi Jain(2),Bighnaraj Naik(2),Sharmistha Bhattacharya Halder(2)
Int. J. Satell. Commun. Netw.,Alessandro Vanelli-Coralli(27),Barry G. Evans(25),Riccardo De Gaudenzi(21),Giovanni Emanuele Corazza(21),Stefano Cioni(20),Michele Luglio(19),Giovanni Giambene(18),Erina Ferro(17),Carlo Riva(17),Nedo Celandroni(14)
Int. J. Secur. Softw. Eng.,Hossain Shahriar(6),Wouter Joosen(4),Riccardo Scandariato(4),Nancy R. Mead(4),Shareeful Islam(4),Haruhiko Kaiya(4),Martin Gilje Jaatun(4),Nobukazu Yoshioka(4),Per Håkon Meland(3),Khaled M. Khan(3)
Int. J. Serv. Technol. Manag.,B. Bowonder(11),Daniel Berg(7),Henry C. W. Lau(6),Xiao-ming Tao(5),Philip Kwok-wing Yeung(5),Patrick Chi-leung Hui(5),Kai-chiu Ho(5),Richard Deane Terrell(4),Yu-Chun Chung(4),Prasanta Kumar Dey(4)
Int. J. Simul. Process. Model.,Letizia Nicoletti(13),Francesco Longo 0002(13),Marina Massei(8),Michael Affenzeller(7),Agostino G. Bruzzone(7),Alberto Tremori(6),Eleonora Bottani(6),Yinong Chen(6),Antonio Padovano(5),Roberto Montanari 0001(5)
Int. J. Smart Educ. Urban Soc.,Darrell Norman Burrell(4),Zanda Rubene(3),Emmanuel Fokides(2),Simon Cleveland(2),Patrick I. Offor(2),Santa Dreimane(2),Mohamed Khaldi(2),Lolita Selvaha(1),Mike D. Re'vell(1),Amal Abdullah Al-Hazzaa(1)
Int. J. Soc. Media Interact. Learn. Environ.,Qiyun Wang(4),Tjeerd Plomp(3),Wing Sum Cheung(2),Pilar Lacasa(2),Myint Swe Khine(2),Scott J. Warren(2),Laura Morrison(2),Patrick R. Lowenthal(2),Vasileios Paliktzoglou(2),Choon Lang Quek(2)
Int. J. Soc. Robotics,Shuzhi Sam Ge(25),Hiroshi Ishiguro(24),Takayuki Kanda 0001(22),Oussama Khatib(19),Norihiro Hagita(16),Masahiro Shiomi(15),Agnieszka Wykowska(11),Raymond H. Cuijpers(9),John-John Cabibihan(9),Elizabeth Broadbent(8)
Int. J. Sociotechnology Knowl. Dev.,Katta Rama Mohana Rao(5),Chandra Sekhar Patro(5),Elayne W. Coakes(5),Kennedy D. Gunawardana(3),Monique Janneck(3),M. Gordon Hunter(3),Ken Eason(3),Chris William Callaghan(3),Peter A. C. Smith(3),Yeslam Al-Saggaf(2)
Int. J. Softw. Sci. Comput. Intell.,Yingxu Wang(34),Cyprian F. Ngolah(8),Phillip C.-Y. Sheu(7),George Baciu(7),Fumio Mizoguchi(6),Hayato Ohwada(6),Witold Kinsner(6),Yousheng Tian(6),Jun Peng(5),Xinming Tan(5)
Int. J. Space Based Situated Comput.,Leonard Barolli(14),Fatos Xhafa(8),Makoto Ikeda(7),Nobuo Funabiki(7),Tomoyuki Ishida(7),Yoshitaka Shibata(6),Toyoo Takata(5),Makoto Takizawa 0001(5),Tetsuya Oda(5),Hiroaki Nishino(4)
Int. J. Synth. Emot.,Huma Shah(4),Joost Broekens(3),Kevin Warwick(3),Jordi Vallverdú(3),Soumadip Ghosh(3),Med Salim Bouhlel(2),Parikshit N. Mahalle(2),Max Talanov(2),Imen Trabelsi(2),Gert-Jan de Vries(2)
Int. J. Syst. Serv. Oriented Eng.,Dickson K. W. Chiu(18),Kevin K. W. Ho(9),James Miller 0001(6),Eleanna Kafeza(4),Varun Gupta 0001(4),Shiping Chen 0001(4),Zakaria Maamar(4),Patrick C. K. Hung(3),Kamlesh Dutta(3),D. Jeya Mala(3)
Int. J. Syst. Syst. Eng.,Charles B. Keating(19),Polinpapilinho F. Katina(11),Kevin MacG. Adams(10),Joseph M. Bradley(9),Patrick T. Hester(7),Dave Walters(6),Adrian V. Gheorghe(6),Raed M. Jaradat(4),Behnido Y. Calida(4),C. Ariel Pinto(4)
Int. J. Technoethics,Rocci Luppicini(6),Lorenzo Magnani(5),Tommaso Bertolotti(4),Mahmoud Eid(4),Liudmila V. Baeva(3),Eleanor M. Godway(2),Cameron David Brewer(2),Deb Gearhart(2),Francesca Odella(2),Lynne D. Roberts(2)
Int. J. Technol. Educ. Mark.,Gilbert Ahamer(6),Pamela A. Lemoine(3),Ruth Gannon-Cook(3),Michael D. Richardson(3),Michael J. Roszkowski(3),Victor C. X. Wang(2),Jesús-Manuel Olivares-Ceja(2),Morgan R. Clevenger(2),Kathryn Ley(2),Svetlana Zhelyazkova Vasileva(1)
Int. J. Technol. Manag.,Mariano Corso(12),Paul Hyland(10),Antonella Martini(9),Harry Boer(8),Junmo Kim(8),Robert Phaal(8),Oliver Gassmann(7),B. Bowonder(7),Pier A. Abetti(7),Mats Magnusson(6)
Int. J. Ultra Wideband Commun. Syst.,Jari H. Iinatti(4),Rajveer S. Yaduvanshi(4),Ehab M. Shaheen(4),Matti Hämäläinen(4),Javad Ahmadi-Shokouh(3),Lorenzo Mucchi(3),Shabbir N. Merchant(3),Ryuji Kohno(3),Uday B. Desai(3),Dan Shan(2)
Int. J. Uncertain. Fuzziness Knowl. Based Syst.,Vladik Kreinovich(132),Ronald R. Yager(27),Vicenç Torra(18),Radko Mesiar(16),Bernard De Baets(13),Zeshui Xu(13),Didier Dubois(13),Hung T. Nguyen 0002(12),Henri Prade(11),Francisco Herrera(10)
Int. J. Unconv. Comput.,Andrew Adamatzky(18),Selim G. Akl(14),Jerzy Gorecki(11),Evgeny Katz(11),Susan Stepney(10),Tetsuya Asai(7),José Félix Costa(7),Gexiang Zhang(6),Joanna Natalia Gorecka(6),Jeff Jones(6)
Int. J. Virtual Communities Soc. Netw.,Demosthenes Akoumianakis(6),Bo Han(3),Katherine Karl(3),Ashok Kumar Wahi(3),Abdollah Aghaie(3),José Poças Rascão(2),Adel Alti(2),Sarah Bouraga(2),Sébastien Laborie(2),Payam Hanafizadeh(2)
Int. J. Virtual Pers. Learn. Environ.,Mark Stansfield(3),Dara Tafazoli(3),Michael Vallance(2),Amy Kamarainen(2),Chris Dede(2),Shaidatul Akma Adi Kasuma(2),Thomas M. Connolly(2),Chang Liu(2),Tina A. Grotzer(2),Olga De Troyer(2)
Int. J. Virtual Real.,Christian Eckes(4),Frank Hülsken(4),Gerard Jounghyun Kim(3),Nadia Magnenat-Thalmann(3),Domitile Lourdeaux(2),Mohd Shahrizal Sunar(2),Carlos Delgado-Mata(2),Markus Rössler(2),Yvonne Jung(2),Lin Shi(2)
Int. J. Wavelets Multiresolution Inf. Process.,Yuan Yan Tang(32),Hiroshi Toda(16),Luoqing Li(16),Zhong Zhang 0005(15),Zhaowei Shang(11),Hong Li 0009(11),Tao Qian(10),Yuanyan Tang(9),Anouar Ben Mabrouk(9),Lizhong Peng(9)
Int. J. Web Appl.,Zeeshan Ahmed(3),Khaleel Ur Rahman Khan(3),Okba Kazar(3),Jyoti D. Pawar(3),Chao Liu(2),Zuhua Jiang(2),Anita Goel(2),Syeda Sameen Fatima(2),Mohd. M. I. Tarawneh(2),Sahli Siham(2)
Int. J. Web Sci.,Demian Antony D'Mello(2),Mimoun Malki(2),V. S. Ananthanarayana(2),El Hassan Abdelwahed(2),Mohamed Salah Benselim(1),Poonam Chahal(1),S. Poomagal(1),Wenbing Zhao 0001(1),K. C. Srikantaiah(1),Horst Treiblmaier(1)
Int. J. Web Serv. Res.,Jia Zhang 0001(7),Liang-Jie Zhang(7),Claude Godart(5),Calton Pu(5),Ling Liu 0001(4),Elisa Bertino(4),James Caverlee(3),Carsten Buschmann(3),Patrick C. K. Hung(3),Stanley Y. W. Su(3)
Int. J. Wirel. Inf. Networks,Kaveh Pahlavan(14),Mohsen Kavehrad(13),Vidhyacharan Bhaskar(13),Michael B. Pursley(9),Xinrong Li(8),Chengshan Xiao(6),Matti Hämäläinen(6),Yunxing Ye(6),Jie He(5),Fotini-Niovi Pavlidou(5)
Int. J. Wirel. Opt. Commun.,P. Mohanan(5),C. K. Aanandan(4),K. Vasudevan(4),Zhi Ning Chen(3),Tho Le-Ngoc(2),Anwar Alyatama(2),Sujoy Ghose(2),P. C. Bybi(2),Homayoon Oraizi(2),Arnaud Thiry(2)
Int. J. e Collab.,Ned Kock(19),Gert-Jan de Vreede(4),Tharrenos Bratitsis(4),Ilze Zigurs(4),Harold Daniel(4),Stavros N. Demetriadis(4),Jerry Fjermestad(3),Alain Pinsonneault(3),Maria Antonia Martínez-Carreras(3),C. Matt Graham(3)
Int. Trans. Oper. Res.,Celso C. Ribeiro(23),Angel A. Juan(19),Thomas Stützle(13),Nelson Maculan(12),Mauricio G. C. Resende(12),Kenneth Sörensen(9),João C. N. Clímaco(9),Leo Liberti(9),Reinaldo Morabito(8),Mario Guajardo(8)
IntCAD,Hiroyuki Yoshikawa(3),David C. Brown(2),Tetsuo Tomiyama(2),John S. Gero(2),Djamila Haroud(1),Aart Bijil(1),Jami J. Shah(1),Leo Joskowicz(1),Jonathan L. Ostwald(1),Steven R. LeClair(1)
IntRS,John O'Donovan(1),Peter Brusilovsky(1),Martijn C. Willemsen(1),Pasquale Lops(1),Alexander Felfernig(1),Nava Tintarev(1),Marco de Gemmis(1)
Integr.,Lambert Spaanenburg(31),Sheldon X.-D. Tan(20),Günhan Dündar(18),Francisco V. Fernández(16),Nuno Horta(16),Yici Cai(14),Massoud Pedram(11),Eby G. Friedman(11),Xianlong Hong(11),Fabrizio Lombardi(11)
Integrated Network Management,Olivier Festor(18),George Pavlou(18),Lisandro Zambenedetti Granville(17),Rolf Stadler(15),Raouf Boutaba(13),Filip De Turck(10),Radu State(10),Marcus Brunner(10),Claudio Bartolini(10),Joseph L. Hellerstein(10)
Integrating Ontologies,Jérôme Euzenat(3),Marc Ehrig(2),Ningsheng Jian(2),Yuzhong Qu(2),Wei Hu 0007(2),Marek Hatala(2),Paulo Maio(1),Petko Valtchev(1),Nuno Silva 0001(1),Yannis Kalfoglou(1)
Integrating Research and Practice in Software Engineering,Janusz Zalewski(2),Krzysztof Stepien(1),Yinxing Xue(1),Nary Subramanian(1),Andrzej Paszkiewicz(1),Sylwia Kopczynska(1),Stan Jarzabek(1),Manoj Kumar Singh(1),Jiaming Ye(1),Klara Borowa(1)
Intell. Autom. Soft Comput.,Simon X. Yang(31),Jianting Zhou(18),Jihua Wang(13),Feng Xu(13),Jianxi Yang(13),Dong Ren(12),Mo M. Jamshidi(11),Edgar N. Sánchez(10),Tadahiro Ohmi(9),Koji Kotani(9)
Intell. Data Anal.,Fazel Famili(31),João Gama(20),Tzung-Pei Hong(17),Taghi M. Khoshgoftaar(11),Azuraliza Abu Bakar(11),José Francisco Martínez Trinidad(10),Miroslav Kubat(10),Jesús Ariel Carrasco-Ochoa(10),Mohammad Rahmati(9),Sebastián Maldonado(8)
Intellectics and Computational Logic,Christoph Kreitz(3),Steffen Hölldobler(2),Christian Wagner(1),Thomas Eiter(1),Jörg H. Siekmann(1),Hans Tompits(1),John Alan Robinson(1),Elmar Eder(1),Jens Otten(1),Michael Thielscher(1)
