#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
AAA-IDEA,Claudia Canali(2),Wim Lamotte(2),Guillaume Pierre(2),Maarten Wijnants 0001(2),Riccardo Lancellotti(2),Maarten van Steen(2),Graham N. C. Kirby(1),Ilkka Luoma(1),Ting-Chao Hou(1),Said Benamar(1)
AAAI (Late-Breaking Developments),Cynthia Rudin(5),Caiming Xiong(2),David M. Johnson 0001(2),Judy Goldsmith(2),Jason J. Corso(2),Tyler H. McCormick(2),Ariel Felner(2),Tuomas Sandholm(2),Roni Stern(2),Qiang Lu(1)
AAAI Fall Symposia,Ana Paiva(9),Shlomo Zilberstein(6),Brian Scassellati(6),James MacGlashan(6),Tim Finin(5),Matthias Scheutz(5),Sonia Chernova(4),Stefanie Tellex(4),Tathagata Chakraborti(4),Maja J. Mataric(4)
AAAI Fall Symposium: Adaptive Agents in Cultural Contexts,Jeremy Ludwig(3),Alex Davis(2),Thomas W. Mastaglio(1),Phillip N. Jones(1),Ruth Aylett(1),Prasan Samtani(1),Aaron Mannes(1),Wyatt Wong(1),Michael D. Proctor(1),G. Michael Youngblood(1)
AAAI Fall Symposium: Artificial Intelligence for Gerontechnology,Alex Mihailidis(4),Jesse Hoey(2),Diane J. Cook(2),Marjorie Skubic(2),Margriet Pol(1),Parisa Rashidi(1),Ben J. A. Kröse(1),Gwenn Englebienne(1),Narayanan Chatapuram Krishnan(1),Jasper Snoek(1)
AAAI Fall Symposium: Artificial Intelligence of Humor,Victor Raskin(3),Julia M. Taylor(1),Faisal L. Kadri(1),Julia Taylor(1),Leo Obrst(1),Jukka M. Toivanen(1),Alexei V. Samsonovich(1),Kenji Araki(1),Tony Veale(1),Oskar Gross(1)
AAAI Fall Symposium: Aurally Informed Performance,Derek P. Brock(2),Shrikanth S. Narayanan(2),François Michaud(1),Jeffrey Graham(1),Ramani Duraiswami(1),James K. Hahn(1),Frederick Heckel(1),Maarten Sierhuis(1),Justin A. MacDonald(1),Eric Martinson(1)
AAAI Fall Symposium: Capturing and Using Patterns for Evidence Detection,Michael Wolverton(3),Jérôme Thoméré(2),Robert C. Schrag(2),Masami Takikawa(2),Bruce W. Porter(2),Benjamin Rode(2),Stacy Lovell(1),Kenneth D. Forbus(1),Purvesh Shah(1),Luther Karl Branting(1)
AAAI Fall Symposium: Coevolutionary and Coadaptive Systems,R. Paul Wiegand(2),Jordan B. Pollack(2),Mitchell A. Potter(2),Martin Zinkevich(1),Kenneth A. De Jong(1),Ari Bader-Natal(1),Sean Luke(1),Roger Mailler(1),Robert Wright(1),Shivakumar Viswanathan(1)
AAAI Fall Symposium: Computational Approaches to Representation Change during Learning and Development,Omid Madani(2),Sridhar Mahadevan(1),Doo Soon Kim(1),Tim Oates(1),Simon D. Levy(1),Doina Precup(1),Jefferson Provost(1),Thomas J. Walsh(1),Prakash Panangaden(1),Jia-Hong Wu(1)
AAAI Fall Symposium: Human Control of Bioinspired Swarms,Michael Lewis 0001(5),Nilanjan Chakraborty(3),Katia P. Sycara(3),Paul Scerri(2),Michael A. Goodrich(2),Phillip M. Walker(2),Andreas Kolling(2),Steven Nunnally(2),Thomas B. Apker(1),Been Kim(1)
AAAI Fall Symposium: Machine Aggregation of Human Judgment,H. Van Dyke Parunak(2),Elizabeth Downs(1),Tamsyn Peronel Waterhouse(1),Haym Hirsh(1),Barbara A. Mellers(1),John Irvine 0001(1),Fiona Fidler(1),Wei Sun(1),Aidan Lyon(1),Thomas W. Malone(1)
AAAI Fall Symposium: Manifold Learning and Its Applications,Oluwasanmi Koyejo(3),Amir Averbuch(2),Richard G. Baraniuk(2),Richard Souvenir(2),Mark A. Davenport(2),Daniel McFarlane(1),Yonina C. Eldar(1),Muhittin Gökmen(1),Marco F. Duarte(1),Marina Meila(1)
AAAI Fall Symposium: Multimedia Information Extraction,Paul Buitelaar(2),Jan Nemrava(2),Thierry Declerck(2),Rohini K. Srihari(2),Mark T. Maybury(2),David A. Sadlier(2),Alexander G. Hauptmann(2),Sharon Walter(1),Wei-Hao Lin(1),Sandra Carberry(1)
AAAI Fall Symposium: Question Generation,Montse Maritxalar(1),Wayne H. Ward(1),Pascal Kuyten(1),Sarah K. K. Luger(1),Elnaz Nouri(1),Prashanth Mannem(1),Itziar Aldabe(1),Sarel van Vuuren(1),Helmut Prendinger(1),Julius Goth(1)
AAAI Fall Symposium: Robots Learning Interactively from Human Teachers,Çetin Meriçli(2),Maja J. Mataric(2),Aaron Mininger(1),Juan Fasola(1),Kaushik Subramanian(1),Wolfgang Ertel(1),Halit Bener Suay(1),Nicolas Padoy(1),Jan Peters 0001(1),Kshitij Judah(1)
AAAI Fall Symposium: Semantic Web for Collaborative Knowledge Acquisition,Vasant G. Honavar(3),Claudia Diamantini(2),Domenico Potena(2),Tim Finin(2),Michele Nucci(1),Maurizio Giordano(1),Prashant Gaharwar(1),Pratyus Patniak(1),Ian B. Sturken(1),Timothy E. Eastman(1)
AAAI Spring Symposia,Keiki Takadama(19),Tomohiro Harada(8),Donald A. Sofge(7),Wendy Ju(7),Ira S. Moskowitz(7),Ranjeev Mittu(7),Peter Stone(6),Takashi Kido(6),William Frere Lawless(6),Yusuke Tajima(6)
AAAI Spring Symposium: Agents that Learn from Human Teachers,Manuela M. Veloso(3),Peter Stone(2),Ian R. Fasel(2),Melinda T. Gervasio(2),Michael Quinlan(1),Geert-Jan M. Kruijff(1),Karen L. Myers(1),Emlyn Pratt(1),Reid G. Simmons(1),Thomas J. Lee(1)
AAAI Spring Symposium: Analyzing Microtext,David C. Uthus(2),Tsai-Ching Lu(1),Paul Rodrigues 0001(1),William M. Pottenger(1),David Jurgens(1),Michal Kosinski(1),Tomek Strzalkowski(1),Sherri Lee Condon(1),Craig Martell(1),Dominic Paul Rout(1)
AAAI Spring Symposium: Artificial Intelligence for Development,Nathan Eagle(6),Lakshminarayanan Subramanian(4),Shawndra Hill(3),Enrique Frías-Martínez(2),Nuria Oliver(2),Trishank Karthik Kuppusamy(2),Eric Horvitz(2),Jay Chen(2),Emma Brunskill(2),Vanessa Frías-Martínez(2)
